鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
安樂區,房地(土地+建物),基隆市安樂區中和路１６８巷７弄２３號２樓,28.45,都市：其他:住宅區(住三),,,1110801,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,116.5,3,2,2,有,有,4380000,37597,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSKQHHGFDC48EA,95.13,1.1,9.4,無,
中正區,房地(土地+建物),基隆市中正區觀海街１８１號６樓,15.03,都市：其他:住宅區(住二),,,1110804,土地2建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,70.72999999999999,2,1,1,有,有,2600000,36760,,0.0,0,,RPVPMLSKQHHGFDC09DA,50.71,0.0,6.7,有,001
信義區,房地(土地+建物),基隆市信義區福民街６９巷７號２樓,26.78,都市：其他:住宅區(住四),,,1110808,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740912,72.6,2,1,1,有,無,2700000,37190,,0.0,0,,RPSOMLRKQHHGFDC58DA,56.98,0.0,7.4,無,002
安樂區,房地(土地+建物),基隆市安樂區基金一路２２０巷１０２號,298.37,都市：其他:住宅區(住一),,,1110805,土地3建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1041206,416.60999999999996,4,2,3,有,有,21930000,52639,,0.0,0,,RPWNMLTJQHHGFDC98DA,351.1,7.73,41.2,有,
安樂區,土地,湖海段1059地號,168.42,都市：其他:住宅區,,,1110815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6500000,38594,,0.0,0,未登記建物；,RPTNMLSKQHHGFDC68DA,0.0,0.0,0.0,無,
安樂區,房地(土地+建物)+車位,基隆市安樂區基金一路１０８之２５號４樓,16.36,都市：其他:住宅區,,,1110812,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830610,133.86,3,2,2,有,有,6200000,46317,坡道平面,0.0,0,,RPRQMLSKQHHGFDC78DA,83.24,0.84,6.43,有,003
安樂區,房地(土地+建物),基隆市安樂區安樂路一段２６２號５樓,32.0,都市：其他:道路用地,,,1110803,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730710,107.91,5,3,3,有,無,4680000,43369,,0.0,0,頂樓加蓋；,RPSQMLSKQHHGFDC88DA,107.91,0.0,0.0,無,
暖暖區,房地(土地+建物),基隆市暖暖區東勢街４之１１號,24.1,都市：其他:道路用地,,,1110809,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720415,83.69,2,1,1,有,無,2385000,28498,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKQHHGFDC58EA,75.65,0.0,8.04,無,
暖暖區,房地(土地+建物)+車位,基隆市暖暖區源遠路１７９之５號３樓,26.04,都市：其他:住宅區(住三),,,1110808,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080102,188.46,3,2,2,有,有,13200000,71107,坡道平面,23.92,1500000,車位價格內含土地分價格,RPPNMLRKQHHGFDC18DA,95.73,4.95,10.72,有,
中正區,土地,長潭段1062地號,32.0,都市：其他:住宅區,,,1110809,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,100000,,0.0,0,本案房屋有部分占用到國有土地未登記建物；含租約；,RPPNMLOKQHHGFDC87DA,0.0,0.0,0.0,無,
中正區,房地(土地+建物),基隆市中正區新豐街４６０之１號１０樓,6.79,都市：其他:住宅區(住二),,,1110809,土地3建物1車位0,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,39.61,1,1,1,有,有,1750000,44181,,0.0,0,,RPWNMLMKQHHGFDC38DA,25.26,0.0,4.9,有,
中正區,房地(土地+建物),基隆市中正區祥豐街５２１之１號,53.67,都市：其他:住宅區(住一),,,1110808,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0611020,78.25,5,0,5,有,無,3700000,47284,,0.0,0,陽台外推；,RPROMLOLQHHGFDC28DA,78.25,0.0,0.0,無,
中正區,房地(土地+建物),基隆市中正區平三路１０之１號,14.0,都市：其他:住宅區(住二),,,1110815,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701027,42.53,1,1,1,有,無,900000,21162,,0.0,0,其他增建；,RPQOMLOLQHHGFDC18DA,42.53,0.0,0.0,無,
暖暖區,土地,暖暖段暖暖小段340地號,4.65,都市：其他:住宅區(住三),,,1110820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,231000,49677,,0.0,0,,RPPPMLOLQHHGFDC18DA,0.0,0.0,0.0,無,
中正區,房地(土地+建物),基隆市中正區中正路４００之３號４樓,28.16,都市：其他:住宅區(住一),,,1110807,土地3建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880803,148.88,4,2,2,有,有,8200000,55078,,0.0,0,,RPQPMLOLQHHGFDC28DA,103.26,2.06,9.71,有,
信義區,房地(土地+建物),基隆市信義區孝東路１３８之３號九樓,20.51,都市：其他:住宅區(住三),,,1110808,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061018,143.44,3,2,2,有,有,11000000,76687,,0.0,0,,RPWOMLOLQHHGFDC78DA,90.43,0.78,11.83,有,004
暖暖區,房地(土地+建物),基隆市暖暖區暖碇路２０之３號,26.17,都市：其他:商業區(商二),,,1110807,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680713,80.76,3,0,3,有,無,4150000,51387,,0.0,0,,RPSNMLOLQHHGFDC28DA,80.76,0.0,0.0,無,005
中正區,房地(土地+建物),基隆市中正區觀海街３１號,23.69,都市：其他:住宅區(住二),,,1110812,土地2建物1車位0,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,114.28999999999999,2,1,1,有,有,5600000,48998,,0.0,0,,RPPNMLNKQHHGFDC77DA,80.78,0.0,11.69,有,006
中山區,房地(土地+建物),基隆市中山區中山一路２９１巷２１號,19.97,都市：其他:住宅區,,,1110815,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0640415,33.0,1,1,1,有,無,900000,27273,,0.0,0,,RPVNMLNLQHHGFDC48DA,33.0,0.0,0.0,無,
七堵區,房地(土地+建物),基隆市七堵區南興路１４６號,2.99,都市：其他:商業區(商三),,,1110822,土地1建物1車位0,一層，騎樓,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870117,43.0,0,0,0,無,有,4650000,108140,,0.0,0,夾層；,RPUOMLNLQHHGFDC48DA,34.15,0.0,0.0,有,007
中正區,房地(土地+建物),基隆市中正區中正路７８８巷８之１號,28.21,都市：其他:住宅區(住一),,,1110815,土地5建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690514,62.69,5,0,5,有,無,3350000,53438,,0.0,0,陽台外推；頂樓加蓋；,RPXOMLOLQHHGFDC88DA,62.69,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區崇德路８２巷２號,52.0,都市：其他:住宅區,,,1110803,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0550200,34.5,2,1,1,有,無,1650000,47826,,0.0,0,,RPOPMLMLQHHGFDC87DA,34.5,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區基金一路２０８巷１３８弄１１號３樓,7.82,都市：其他:住宅區(住二),,,1110808,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840811,33.120000000000005,1,1,1,有,有,1800000,54348,,0.0,0,套房,RPRPMLMLQHHGFDC18DA,22.77,0.0,2.9,無,008
仁愛區,房地(土地+建物),基隆市仁愛區仁一路２５７號十五樓,5.65,都市：其他:商業區,,,1110814,土地2建物1車位0,十五層,三十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0970204,102.71000000000001,1,1,1,有,有,11500000,111966,,0.0,0,,RPOQMLPLQHHGFDC28DA,67.13,0.0,5.49,有,
信義區,房地(土地+建物),基隆市信義區深澳坑路１７２巷４４之８號３樓,23.6,都市：其他:住宅區(住四),,,1110801,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870608,87.75,3,2,2,有,無,3650000,41595,,0.0,0,陽台外推；,RPWSMLPLQHHGFDC66DA,68.85,0.0,12.81,無,009
信義區,房地(土地+建物),基隆市信義區正信路１３７之５號,20.11,都市：其他:住宅區,,,1110816,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701222,84.94,1,2,1,有,無,4700000,55333,,0.0,0,其他增建；含租約；,RPSRMLQLQHHGFDC88DA,72.74,0.0,12.2,無,
安樂區,房地(土地+建物),基隆市安樂區基金一路１１６號５樓之７,18.16,都市：其他:住宅區(住二),,,1110812,土地4建物2車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850406,105.89,3,2,2,有,有,5500000,51941,,0.0,0,,RPWNMLTLQHHGFDC56DA,72.62,0.0,9.8,有,
七堵區,房地(土地+建物),基隆市七堵區長安街２８６巷９０號５樓,40.85,,鄉村區,乙種建築用地,1110806,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830413,123.03,3,2,2,有,無,4000000,32512,,0.0,0,,RPQUMLPLQHHGFDC88DA,99.25,0.0,20.99,無,
中山區,房地(土地+建物),基隆市中山區中山二路８９巷２之２號５樓,42.78,都市：其他:住宅區,,,1110806,土地6建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830620,118.75,3,2,2,有,無,4160000,35032,,0.0,0,,RPRNMLKLQHHGFDC77DA,96.77,0.0,10.07,無,
中正區,房地(土地+建物),基隆市中正區調和街２９６號十二樓之３,15.19,都市：其他:住宅區(住二),,,1110810,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080212,63.47,1,1,1,有,有,4320000,68064,,0.0,0,,RPVPMLPKQHHGFDC78DA,37.96,0.0,4.6,有,
中正區,房地(土地+建物)+車位,基隆市中正區新豐街２００號１６樓,15.48,都市：其他:住宅區(住二),,,1110805,土地1建物1車位1,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,120.38,1,1,1,有,有,4880000,40538,坡道平面,41.78,0,,RPXOMLPJQHHGFDC78DA,55.25,0.0,3.69,有,
安樂區,房地(土地+建物),基隆市安樂區武聖街２５３號,115.06,都市：其他:住宅區,,,1110707,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840707,190.34,5,2,3,有,無,9800000,51487,,0.0,0,頂樓加蓋；其他增建；,RPXOMLLLPHHGFDC48DA,95.44,40.71,6.06,無,
中正區,建物,基隆市中正區中船路５巷１６號４樓,0.0,,,,1110728,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0630516,40.72,2,1,1,有,無,900000,22102,,0.0,0,土地向國有財產署承租其他增建；,RPSQMLMJQHHGFDC18DA,40.72,0.0,0.0,無,010
中正區,車位,新豐街４７０號等共同使用,1.7,都市：其他:道路用地,,,1110728,土地5建物1車位1,,,其他,,,,34.17,0,0,0,有,有,1300000,,坡道平面,34.16,1300000,僅車位交易；,RPRPMLNJQHHGFDC08DA,0.0,0.0,0.0,有,011
中正區,房地(土地+建物)+車位,基隆市中正區觀海街１５０號７樓,22.39,都市：其他:住宅區(住二),,,1110723,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,153.97,3,2,2,有,有,6200000,40268,坡道平面,0.0,0,,RPUOMLMKQHHGFDC28DA,80.75,0.0,11.69,有,
信義區,房地(土地+建物)+車位,基隆市信義區孝東路１００之２號十五樓,24.21,都市：其他:住宅區(住三),,,1110716,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061018,199.88,3,2,2,有,有,14990000,83211,坡道平面,35.96,1350000,預售屋、或土地及建物分件登記案件；,RPTQMLPKQHHGFDC68DA,108.05,0.0,11.4,有,
信義區,房地(土地+建物)+車位,基隆市信義區孝東路１００之１號十五樓,26.78,都市：其他:住宅區(住三),,,1110703,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061018,217.89,3,2,2,有,有,15400000,77228,坡道平面,35.96,1350000,預售屋、或土地及建物分件登記案件；,RPUQMLPKQHHGFDC78DA,119.43,1.16,12.66,有,
信義區,房地(土地+建物)+車位,基隆市信義區孝東路１０２之１號七樓,26.78,都市：其他:住宅區(住三),,,1110702,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061018,216.85,3,2,2,有,有,13700000,69379,坡道平面,35.96,1150000,預售屋、或土地及建物分件登記案件；,RPVQMLPKQHHGFDC88DA,119.43,1.16,12.66,有,
信義區,房地(土地+建物)+車位,基隆市信義區孝東路１００號十四樓,26.78,都市：其他:住宅區(住三),,,1110717,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061018,217.97000000000003,3,2,2,有,有,15550000,78018,坡道平面,35.96,1350000,預售屋、或土地及建物分件登記案件；,RPWQMLPKQHHGFDC98DA,119.51,1.16,12.66,有,
中正區,房地(土地+建物),基隆市中正區祥豐街１９９之３號,21.75,都市：其他:住宅區(住一),,,1110718,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0611122,60.47,3,2,2,有,無,3300000,54573,,0.0,0,其他增建；,RPROMLQKQHHGFDC38DA,60.47,0.0,0.0,無,012
暖暖區,房地(土地+建物),基隆市暖暖區源遠路１６５之３號３樓,17.02,都市：其他:住宅區(住三),,,1110724,土地1建物1車位0,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,172.38,2,2,2,有,有,5800000,33647,,0.0,0,,RPRPMLPKQHHGFDC38DA,72.55,71.85,8.47,有,013
信義區,房地(土地+建物),基隆市信義區東明路７７巷７５號,40.12,都市：其他:道路用地,,,1110710,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711030,106.32,3,2,2,有,無,6600000,62077,,0.0,0,,RPTPMLPKQHHGFDC58DA,93.42,12.9,0.0,無,014
中山區,房地(土地+建物),基隆市中山區復興路２１２巷１０弄４０號,94.99,都市：其他:住宅區(住二),,,1110708,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0880817,174.9,4,2,2,有,無,10860000,62093,,0.0,0,,RPWNMLRKQHHGFDC88DA,154.94,8.53,11.43,無,
信義區,房地(土地+建物),基隆市信義區深澳坑路１２３之２號五樓,31.17,都市：其他:住宅區(住四),,,1110714,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970121,99.72,3,2,2,有,有,4400000,44124,,0.0,0,,RPQNMLRKQHHGFDC38EA,86.62,0.0,0.0,有,015
仁愛區,房地(土地+建物),基隆市仁愛區龍安街１９８巷１３３號５樓,44.8,都市：其他:住宅區(住一),,,1110713,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0861110,149.31,4,2,2,有,無,5000000,33487,,0.0,0,,RPPPMLSKQHHGFDC48DA,123.7,0.0,6.44,無,016
中正區,房地(土地+建物),基隆市中正區祥豐街７４９號,41.53,都市：其他:住宅區(住一),,,1110728,土地2建物2車位0,一層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0571204,81.5,3,1,1,有,無,4680000,57423,,0.0,0,建物共2棟1門牌:基隆市中正區祥豐街749號             2門牌:基隆市中正區祥豐街749號後,RPTQMLSKQHHGFDC98DA,81.5,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區武隆街１０３巷５５弄５９號５樓,27.27,都市：其他:住宅區(住二),,,1110702,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831108,113.45,3,2,2,有,有,2700000,23799,,0.0,0,陽台外推；,RPVOMLRKQHHGFDC88DA,80.32,0.42,7.8,無,
七堵區,房地(土地+建物),基隆市七堵區長安街２３１巷５４之２號,56.43,,鄉村區,乙種建築用地,1110713,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,94.97,3,2,1,有,無,3200000,33695,,0.0,0,,RPWOMLRKQHHGFDC98DA,79.56,0.0,15.41,無,
安樂區,房地(土地+建物)+車位,基隆市安樂區麥金路１４１號１３樓,13.98,都市：其他:住宅區(住二),,,1110711,土地8建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,115.06,3,2,2,有,有,5850000,50843,坡道平面,11.86,0,,RPVNMLSKQHHGFDC88DA,69.39,0.68,8.97,有,017
安樂區,房地(土地+建物),基隆市安樂區麥金路１４１之３號１３樓,11.48,都市：其他:住宅區(住二),,,1110711,土地8建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860718,101.54,1,2,0,有,有,4800000,47272,,0.0,0,,RPWNMLSKQHHGFDC98DA,67.15,0.68,10.35,有,
中正區,房地(土地+建物),基隆市中正區新豐街３０３巷１９弄３０號４樓,28.67,都市：其他:住宅區(住二),,,1110725,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,93.27,3,2,1,有,無,3960000,42462,,0.0,0,,RPXNMLSKQHHGFDC09DA,65.34,0.04,5.98,無,018
中山區,房地(土地+建物),基隆市中山區復興路３８３之１號,29.71,都市：其他:住宅區(住二),,,1110713,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660520,71.04,4,1,1,有,無,3350000,47157,,0.0,0,其他增建；,RPRPMLRKQHHGFDC58DA,71.04,0.0,0.0,無,
中正區,房地(土地+建物),基隆市中正區新豐街１６２巷８８號,30.46,都市：其他:住宅區(住一),,,1110727,土地5建物1車位0,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101014,99.43,2,2,1,有,有,6500000,65373,,0.0,0,,RPSPMLRKQHHGFDC68DA,57.54,0.0,6.45,有,019
中正區,房地(土地+建物)+車位,基隆市中正區新豐街４６２之５號十三樓,16.65,都市：其他:道路用地,,,1110723,土地5建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,115.54,2,1,1,有,有,6680000,57815,坡道平面,0.0,0,,RPQPMLNJQHHGFDC97DA,55.92,0.86,8.67,有,020
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東碇路５２６號４樓,20.61,都市：其他:住宅區(住一),,,1110724,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861117,109.38999999999999,3,2,1,有,有,6000000,54850,坡道機械,0.0,0,,RPUNMLTJQHHGFDC78DA,60.9,1.1,9.21,有,
信義區,房地(土地+建物),基隆市信義區東明路６２巷５號２樓,23.5,都市：其他:住宅區,,,1110716,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730322,78.62,3,1,1,有,無,3000000,38158,,0.0,0,陽台外推；其他增建；,RPROMLTLPHHGFDC68DA,70.37,0.0,8.25,無,
安樂區,房地(土地+建物),基隆市安樂區麥金路４２１巷６９之４號,27.7,都市：其他:住宅區,,,1110715,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670809,61.41,3,1,1,有,無,2500000,40710,,0.0,0,土地增值稅109592元由買方負責繳納與買賣價格250萬元合計為購屋成本,RPSOMLNJQHHGFDC08DA,61.41,0.0,0.0,無,
信義區,房地(土地+建物),基隆市信義區培德路１８１之９號,15.0,都市：其他:住宅區,,,1110709,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690418,62.92,3,2,2,有,無,2250000,35760,,0.0,0,陽台外推；頂樓加蓋；,RPPOMLPKQHHGFDC08DA,62.92,0.0,0.0,無,
中山區,房地(土地+建物),基隆市中山區復興路２５９巷４５之２號５樓,31.01,都市：其他:住宅區(住二),,,1110730,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840512,110.07000000000001,3,2,2,有,無,2950000,26801,,0.0,0,,RPSPMLSKQHHGFDC78DA,87.6,0.0,10.16,無,
七堵區,房地(土地+建物),基隆市七堵區大華一路５７巷１５號,32.89,都市：其他:住宅區(住三),,,1110703,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790122,121.77000000000001,3,2,2,有,無,7800000,64055,,0.0,0,,RPPOMLSKQHHGFDC38DA,102.86,10.48,0.0,無,
七堵區,房地(土地+建物),基隆市七堵區福一街１１０巷７之２號,29.3,都市：其他:住宅區,,,1110724,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691218,96.82,3,2,1,有,無,6200000,64036,,0.0,0,,RPOPMLRKQHHGFDC28DA,96.82,0.0,0.0,無,
信義區,房地(土地+建物)+車位,基隆市信義區深澳坑路６巷１３９號５樓,47.66,都市：其他:住宅區(住三),,,1110728,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880610,165.51,3,2,2,有,有,5700000,34439,坡道平面,59.82,0,,RPQOMLRKQHHGFDC38DA,89.45,0.0,8.71,有,
七堵區,房地(土地+建物)+車位,基隆市七堵區泰安路２１之１０號１０樓,22.07,都市：其他:住宅區(住三),,,1110724,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961116,148.41,3,2,2,有,有,10000000,67381,坡道平面,27.05,0,,RPVNMLRKQHHGFDC78DA,80.33,0.0,10.59,有,
安樂區,房地(土地+建物),基隆市安樂區基金一路１４６之３號２樓,18.13,都市：其他:住宅區(住二),,,1110717,土地5建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871210,108.30000000000001,3,2,2,有,有,4900000,45245,,0.0,0,,RPQPMLSKQHHGFDC58DA,69.04,0.0,8.8,有,
中正區,房地(土地+建物),基隆市中正區立德路７１號５樓,29.2,都市：其他:住宅區(住一),,,1110727,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870521,92.61999999999999,3,2,2,有,無,2650000,28612,,0.0,0,,RPWQMLSKQHHGFDC66DA,74.06,0.0,9.51,無,021
安樂區,房地(土地+建物),基隆市安樂區樂利三街１０４之１號,37.92,都市：其他:住宅區(住二),,,1110724,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690611,91.94,3,2,1,有,無,4450000,48401,,0.0,0,,RPSNMLTKQHHGFDC68DA,91.94,0.0,0.0,無,
安樂區,房地(土地+建物),基隆市安樂區樂利三街２６３巷１９弄３７之４號,22.65,都市：其他:住宅區(住二),,,1110711,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710603,82.69999999999999,3,2,2,有,無,3200000,38694,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTKQHHGFDC88DA,70.08,0.0,11.55,無,
